task_id,max_severity,risk_level,blocking_count,total_count
TASK-1000,blocking,high-risk,2,6
TASK-900,blocking,high-risk,1,3
TASK-902,blocking,high-risk,1,3
TASK-950,blocking,high-risk,1,3
TASK-951,blocking,high-risk,1,3
TASK-952,blocking,high-risk,3,4
TASK-953,blocking,high-risk,3,4
TASK-954,blocking,high-risk,4,4
TASK-955,blocking,high-risk,4,4
TASK-956,blocking,high-risk,4,4
TASK-957,blocking,high-risk,4,4
TASK-958,blocking,high-risk,4,4
TASK-960,blocking,high-risk,2,3
TASK-961,blocking,high-risk,1,3
TASK-963,blocking,high-risk,4,5
TASK-980,blocking,high-risk,3,4
TASK-981,blocking,high-risk,2,3
TASK-982,blocking,high-risk,3,3
TASK-983,blocking,high-risk,3,3
TASK-984,blocking,high-risk,2,4
TASK-985,blocking,high-risk,4,4
TASK-999,non-blocking,low-risk,0,2
